                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6525,                 10.716,                 2.6674,                0.15635,                0.29161,                0.17462,                0.12403,                 1.9648,                 6.7214,                 2.2761,              0.0001104,              0.0001104,              0.0001104
                      2,                 2.1923,                 5.1422,                 2.2724,                0.36809,                0.52447,                0.47595,                0.35793,                 1.8072,                 4.1862,                 2.2628,             0.00021701,             0.00021701,             0.00021701
                      3,                 2.1994,                 4.0212,                 2.2504,                0.55017,                0.58088,                0.64083,                0.48904,                 1.9327,                  3.198,                 2.3285,             0.00031923,             0.00031923,             0.00031923
                      4,                   2.17,                 3.5335,                 2.2523,                0.50284,                0.64761,                0.65237,                0.49562,                 1.8422,                 2.7828,                  2.237,             0.00031322,             0.00031322,             0.00031322
                      5,                 2.1021,                 3.1281,                 2.2255,                0.52923,                0.69651,                0.67893,                0.52831,                 1.6902,                 2.4701,                 2.1785,             0.00030663,             0.00030663,             0.00030663
                      6,                 2.0438,                 2.8951,                  2.194,                0.69961,                0.62436,                0.75546,                0.59956,                 1.6175,                 2.1992,                 2.1569,             0.00030003,             0.00030003,             0.00030003
                      7,                 1.9756,                 2.5968,                 2.1604,                0.68589,                0.69815,                0.78522,                0.61506,                 1.6172,                 2.0219,                 2.1014,             0.00029344,             0.00029344,             0.00029344
                      8,                 1.9057,                 2.4005,                 2.1282,                0.65211,                0.69311,                0.73297,                0.57187,                 1.6774,                 2.2098,                 2.1416,             0.00028685,             0.00028685,             0.00028685
                      9,                 1.8747,                 2.3419,                 2.1129,                 0.6838,                0.77576,                0.82288,                 0.6562,                 1.6354,                 1.8222,                 2.0967,             0.00028025,             0.00028025,             0.00028025
                     10,                 1.8335,                 2.2022,                 2.0817,                0.73447,                0.75778,                0.82574,                0.65336,                 1.6353,                 1.7709,                 2.1298,             0.00027366,             0.00027366,             0.00027366
